nohup: ignoring input
/opt/conda/envs/hncgat/lib/python3.9/site-packages/torch/torch_version.py:3: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import packaging  # type: ignore[attr-defined]
Namespace(gpu=0, n_epochs=1000, lr=0.005, lamb=1, hid_dim=64, dropout=0.5, temperature=0.1, edgetype='concat', use_weighted_loss=True, weight_attention=True, weight_temperature=0.8)
1-th random split with training ratio 0.900000
Epoch 001 | Loss 16.8676 | TrainAUC 0.4804 | testAUC_ROC 0.5621 |  testAUCpr 0.1387 
Epoch 010 | Loss 11.8274 | TrainAUC 0.7620 | testAUC_ROC 0.8480 |  testAUCpr 0.3571 
Epoch 020 | Loss 10.7446 | TrainAUC 0.9070 | testAUC_ROC 0.8996 |  testAUCpr 0.4669 
Epoch 030 | Loss 10.2538 | TrainAUC 0.9316 | testAUC_ROC 0.9144 |  testAUCpr 0.5334 
Epoch 040 | Loss 9.7372 | TrainAUC 0.9459 | testAUC_ROC 0.9265 |  testAUCpr 0.5703 
Epoch 050 | Loss 9.3613 | TrainAUC 0.9551 | testAUC_ROC 0.9304 |  testAUCpr 0.5820 
Epoch 060 | Loss 9.0630 | TrainAUC 0.9595 | testAUC_ROC 0.9317 |  testAUCpr 0.5995 
Epoch 070 | Loss 8.7667 | TrainAUC 0.9617 | testAUC_ROC 0.9330 |  testAUCpr 0.6126 
Epoch 080 | Loss 8.5466 | TrainAUC 0.9646 | testAUC_ROC 0.9343 |  testAUCpr 0.6250 
Epoch 090 | Loss 8.3799 | TrainAUC 0.9652 | testAUC_ROC 0.9354 |  testAUCpr 0.6382 
Epoch 100 | Loss 8.2661 | TrainAUC 0.9661 | testAUC_ROC 0.9371 |  testAUCpr 0.6437 
Epoch 100 - Average weights - PM:0.305, PP:0.182, PF:0.512
Epoch 110 | Loss 8.1346 | TrainAUC 0.9694 | testAUC_ROC 0.9380 |  testAUCpr 0.6383 
Epoch 120 | Loss 8.0340 | TrainAUC 0.9696 | testAUC_ROC 0.9430 |  testAUCpr 0.6800 
Epoch 130 | Loss 7.9876 | TrainAUC 0.9696 | testAUC_ROC 0.9398 |  testAUCpr 0.6628 
Epoch 140 | Loss 7.9153 | TrainAUC 0.9699 | testAUC_ROC 0.9390 |  testAUCpr 0.6629 
Epoch 150 | Loss 7.9458 | TrainAUC 0.9707 | testAUC_ROC 0.9434 |  testAUCpr 0.6793 
Epoch 160 | Loss 7.7838 | TrainAUC 0.9726 | testAUC_ROC 0.9430 |  testAUCpr 0.6831 
Epoch 170 | Loss 7.7296 | TrainAUC 0.9737 | testAUC_ROC 0.9438 |  testAUCpr 0.6830 
Epoch 180 | Loss 7.6760 | TrainAUC 0.9741 | testAUC_ROC 0.9508 |  testAUCpr 0.7283 
Epoch 190 | Loss 7.6245 | TrainAUC 0.9752 | testAUC_ROC 0.9478 |  testAUCpr 0.7074 
Epoch 200 | Loss 7.5733 | TrainAUC 0.9756 | testAUC_ROC 0.9493 |  testAUCpr 0.7246 
Epoch 200 - Average weights - PM:0.305, PP:0.182, PF:0.513
Epoch 210 | Loss 7.5734 | TrainAUC 0.9757 | testAUC_ROC 0.9489 |  testAUCpr 0.7238 
Epoch 220 | Loss 7.5586 | TrainAUC 0.9756 | testAUC_ROC 0.9516 |  testAUCpr 0.7416 
Epoch 230 | Loss 7.4915 | TrainAUC 0.9775 | testAUC_ROC 0.9528 |  testAUCpr 0.7515 
Epoch 240 | Loss 7.4243 | TrainAUC 0.9776 | testAUC_ROC 0.9495 |  testAUCpr 0.7247 
Epoch 250 | Loss 7.4074 | TrainAUC 0.9778 | testAUC_ROC 0.9548 |  testAUCpr 0.7639 
Epoch 260 | Loss 7.3298 | TrainAUC 0.9791 | testAUC_ROC 0.9544 |  testAUCpr 0.7658 
Epoch 270 | Loss 7.3035 | TrainAUC 0.9798 | testAUC_ROC 0.9545 |  testAUCpr 0.7687 
Epoch 280 | Loss 7.2737 | TrainAUC 0.9803 | testAUC_ROC 0.9553 |  testAUCpr 0.7640 
Epoch 290 | Loss 7.2268 | TrainAUC 0.9808 | testAUC_ROC 0.9555 |  testAUCpr 0.7755 
Epoch 300 | Loss 7.2092 | TrainAUC 0.9808 | testAUC_ROC 0.9561 |  testAUCpr 0.7708 
Epoch 300 - Average weights - PM:0.305, PP:0.182, PF:0.513
